cmd type,key,value,bitfield,cam response,topic
cmd,0x00,0x00,0b0100,IMPL,Colorbars
,,,,,
cmd,0x01,0x00,0b0100,IMPL,Detail
,,,,,
cmd,0x02,0x00,0b0100,IMPL,Autoiris
cmd,0x02,0x01,0b0100,IMPL,Autoiris
,,,,,
cmd,0x03,0x00,0b0100,IMPL,White Bal
cmd,0x03,0x01,0b0100,IMPL,White Bal
cmd,0x03,0x02,0b0100,IMPL,White Bal
cmd,0x03,0x03,0b0100,IMPL,White Bal
cmd,0x03,0x0f,0b0100,IMPL,White Bal
,,,,,
cmd,0x06,0x00,0b0110,UNIPLM,Auto White
cmd,0x06,0x01,0b0110,IMPL,Auto White
,,,,,
cmd,0x07,0x00,0b0100,IMPL,Gain
cmd,0x07,0x01,0b0100,IMPL,Gain
cmd,0x07,0x02,0b0100,IMPL,Gain
cmd,0x07,0x03,0b0100,IMPL,Gain
cmd,0x07,0x04,0b0100,IMPL,Gain
cmd,0x07,0x05,0b0100,UNIPLM,Gain
cmd,0x07,0x06,0b0100,UNIPLM,Gain
cmd,0x07,0x08,0b0100,IMPL,Gain
cmd,0x07,0x0a,0b0100,IMPL,Gain
cmd,0x07,0x0e,0b0100,UNIPLM,Gain
,,,,,
cmd,0x08,0x00,0b0100,IMPL,
cmd,0x08,0x01,0b0100,IMPL,
,,,,,
cmd,0x09,0x00,0b0100,IMPL,Call
cmd,0x09,0x01,0b0100,IMPL,Call
,,,,,
cmd,0x0b,0x00,0b0110,UNIPLM,
,,,,,
cmd,0x0c,0x00,0b0100,IMPL,Shutter
cmd,0x0c,0x01,0b0100,UNIPLM,Shutter
cmd,0x0c,0x02,0b0100,IMPL,Shutter
cmd,0x0c,0x03,0b0100,IMPL,Shutter
cmd,0x0c,0x04,0b0100,IMPL,Shutter
cmd,0x0c,0x05,0b0100,IMPL,Shutter
cmd,0x0c,0x06,0b0100,IMPL,Shutter
cmd,0x0c,0x0f,0b0100,UNIPLM,Shutter
,,,,,
cmd,0x0f,0x00,0b0100,IMPL,black mod
cmd,0x0f,0x01,0b0100,IMPL,black mod
cmd,0x0f,0x02,0b0100,IMPL,black mod
,,,,,
cmd,0x1b,0x00,0b0100,UNIPLM,
cmd,0x1b,0x01,0b0100,UNIPLM,
,,,,,
cmd,0x1c,0x00,0b0100,IMPL,Auto Knee
,,,,,
cmd,0x1d,0x00,0b0100,IMPL,
,,,,,
cmd,0x4a,0x00,0b0100,IMPL,DNR
,,,,,
cmd,0x4b,0x00,0b0100,UNIPLM,
cmd,0x4b,0x01,0b0100,UNIPLM,
cmd,0x4b,0x02,0b0100,UNIPLM,
cmd,0x4b,0x0f,0b0100,UNIPLM,
,,,,,
cmd,0x4c,0x00,0b0100,IMPL,
cmd,0x4c,0x01,0b0100,IMPL,
cmd,0x4c,0x02,0b0100,IMPL,
cmd,0x4c,0x0f,0b0100,UNIPLM,
,,,,,
cmd,0x4d,0x00,0b0100,IMPL,Skin Detail
,,,,,
cmd,0x4e,0x01,0b0100,UNIPLM,
,,,,,
cmd,0x4f,0x00,0b0100,UNIPLM,
cmd,0x4f,0x01,0b0100,UNIPLM,
cmd,0x4f,0x02,0b0100,UNIPLM,
,,,,,
cmd,0x50,0x01,0b0100,IMPL,
,,,,,
cmd,0x51,0x00,0b0100,UNIPLM,
cmd,0x51,0x01,0b0100,UNIPLM,
,,,,,
cmd,0x52,0x00,0b0100,IMPL,
,,,,,
cmd,0x53,0x00,0b0100,IMPL,
cmd,0x53,0x01,0b0100,IMPL,
,,,,,
cmd,0x7d,0x01,0b0100,IMPL,
,,,,,
key,0x00,0x340,,IMPL,Iris
,,,,,
key,0x02,0x33c,,IMPL,
,,,,,
key,0x03,0x368,,IMPL,
,,,,,
key,0x06,0x310,,IMPL,Black
,,,,,
key,0x12,0x530,,UNIPLM,
,,,,,
key,0x14,0x400,,IMPL,
,,,,,
key,0x16,0x400,,IMPL,
,,,,,
key,0x26,0x328,,IMPL,Red
key,0x26,0x404,,IMPL,Red
,,,,,
key,0x27,0x230,,IMPL,Blue
key,0x27,0x41c,,IMPL,Blue
,,,,,
key,0x32,0x604,,IMPL,
,,,,,
key,0x36,0x114,,IMPL,
,,,,,
key,0x40,0x340,,IMPL,Autoiris
,,,,,
key,0x56,0x26e,,UNIPLM,
,,,,,
key,0x74,0x801,,UNIPLM,
,,,,,
key,0xf2,0x008,,UNIPLM,
key,0xf2,0x00c,,UNIPLM,
key,0xf2,0x80c,,UNIPLM,
,,,,,
key,0xf3,0x00c,,UNIPLM,
key,0xf3,0xf7c,,UNIPLM,
