cmd,0x00,0x0,0b0100,IMPL
cmd,0x01,0x0,0b0100,IMPL
cmd,0x02,0x0,0b0100,IMPL
cmd,0x02,0x1,0b0100,IMPL
cmd,0x03,0x0,0b0100,IMPL
cmd,0x03,0x1,0b0100,IMPL
cmd,0x03,0x2,0b0100,IMPL
cmd,0x03,0x3,0b0100,IMPL
cmd,0x03,0xf,0b0100,IMPL
cmd,0x06,0x0,0b0110,UNIPLM
cmd,0x06,0x1,0b0110,IMPL
cmd,0x07,0x0,0b0100,IMPL
cmd,0x07,0x1,0b0100,IMPL
cmd,0x07,0x2,0b0100,IMPL
cmd,0x07,0x3,0b0100,IMPL
cmd,0x07,0x4,0b0100,IMPL
cmd,0x07,0x5,0b0100,UNIPLM
cmd,0x07,0x6,0b0100,UNIPLM
cmd,0x07,0x8,0b0100,IMPL
cmd,0x07,0xa,0b0100,IMPL
cmd,0x07,0xe,0b0100,UNIPLM
cmd,0x08,0x0,0b0100,UNIPLM
cmd,0x08,0x1,0b0100,UNIPLM
cmd,0x09,0x0,0b0100,UNIPLM
cmd,0x09,0x1,0b0100,UNIPLM
cmd,0x0b,0x0,0b0110,UNIPLM
cmd,0x0c,0x0,0b0100,IMPL
cmd,0x0c,0x1,0b0100,UNIPLM
cmd,0x0c,0x2,0b0100,IMPL
cmd,0x0c,0x3,0b0100,IMPL
cmd,0x0c,0x4,0b0100,IMPL
cmd,0x0c,0x5,0b0100,IMPL
cmd,0x0c,0x6,0b0100,IMPL
cmd,0x0c,0xf,0b0100,UNIPLM
cmd,0x0f,0x0,0b0100,IMPL
cmd,0x0f,0x1,0b0100,IMPL
cmd,0x0f,0x2,0b0100,IMPL
cmd,0x1b,0x0,0b0100,UNIPLM
cmd,0x1b,0x1,0b0100,UNIPLM
cmd,0x1c,0x0,0b0100,IMPL
cmd,0x1d,0x0,0b0100,IMPL
cmd,0x4a,0x0,0b0100,UNIPLM
cmd,0x4b,0x0,0b0100,UNIPLM
cmd,0x4b,0x1,0b0100,UNIPLM
cmd,0x4b,0x2,0b0100,UNIPLM
cmd,0x4b,0xf,0b0100,UNIPLM
cmd,0x4c,0x0,0b0100,IMPL
cmd,0x4c,0x1,0b0100,IMPL
cmd,0x4c,0x2,0b0100,IMPL
cmd,0x4c,0xf,0b0100,UNIPLM
cmd,0x4d,0x0,0b0100,IMPL
cmd,0x4e,0x1,0b0100,UNIPLM
cmd,0x4f,0x0,0b0100,UNIPLM
cmd,0x4f,0x1,0b0100,UNIPLM
cmd,0x4f,0x2,0b0100,UNIPLM
cmd,0x50,0x1,0b0100,IMPL
cmd,0x51,0x0,0b0100,UNIPLM
cmd,0x51,0x1,0b0100,UNIPLM
cmd,0x52,0x0,0b0100,IMPL
cmd,0x53,0x0,0b0100,UNIPLM
cmd,0x53,0x1,0b0100,UNIPLM
key,0x00,0x600,,IMPL
key,0x02,0x33c,,IMPL
key,0x03,0x368,,IMPL
key,0x06,0x314,,IMPL
key,0x12,0x530,,UNIPLM
key,0x14,0x400,,IMPL
key,0x16,0x400,,IMPL
key,0x26,0x328,,IMPL
key,0x26,0x404,,IMPL
key,0x27,0x230,,IMPL
key,0x27,0x41c,,IMPL
key,0x32,0x604,,IMPL
key,0x36,0x114,,IMPL
key,0x40,0x600,,IMPL
key,0x56,0x26e,,UNIPLM
key,0x74,0x801,,UNIPLM
key,0xf2,0x008,,UNIPLM
key,0xf2,0x00c,,UNIPLM
key,0xf2,0x80c,,UNIPLM
key,0xf3,0x00c,,UNIPLM
key,0xf3,0xf7c,,UNIPLM
